NumCities,TotalDistance,BestSolution,BestBound,BestGap,SolveTime,SolveNode,MIPStatus
10,356.0,356.0,356.0,0.0,0.001811981201171875,0,Optimal
20,949.0,949.0,949.0,0.0,0.0005321502685546875,0,Optimal
30,939.0,939.0,939.0,0.0,0.0003879070281982422,0,Optimal
40,1299.0,1299.0,1299.0,0.0,0.0003838539123535156,0,Optimal
50,2020.0,2020.0,2020.0,0.0,0.00037097930908203125,0,Optimal
60,2251.0,2251.0,2251.0,0.0,0.0004858970642089844,0,Optimal
70,2633.0,2633.0,2633.0,0.0,0.0011320114135742188,0,Optimal
80,3150.0,3150.0,3150.0,0.0,0.0006089210510253906,0,Optimal
90,3549.0,3549.0,3549.0,0.0,0.0005018711090087891,0,Optimal
100,3710.0,3710.0,3710.0,0.0,0.0013511180877685547,0,Optimal
